Name,Number of Sentence,Number of Words,Number of Paragraph,Words per Sentence (%),Number of Characters,Character per Words (%),Sentence per Paragraph (%),Number of Sylables,Syllables per Word (%),Number of Monosyllable,Monosyllable per Word (%),Disyllable per Word (%),Number of Complex Words,Complex Words per Word (%),Number of Advance Words,Advance Words per Words (%),Number of Common Words,Common Words per Words (%),Verbs per Words (%),Verbs per Sentences (%),Ditransverbs per Sentences (%),Transverbs per Sentences (%),Intransitverbs per Sentences (%),Auxverbs per Sentences (%),Conjuctions per Sentences (%),Nouns per Words (%),Nouns per Sentence (%),Puctuation per Sentence,Adjective per Word (%),Adjective per Sentence (%),Adpositions per Sentences (%),Adverb per Sentence (%),Pronoun per Sentence (%),Number of Unknown Words,Unknown Words per Words (%),Dale Chall Score,Flesch Reading Ease Score,New Flesch Reading Ease Score,Gunning Fog Score,SMOG Score,FORCAST Score,ARI Score,Coleman Liau Score,LIX Score,RIX Score,Powers Sumner Kearl,Spache Score,Linsear Write,Future Perfect Progressive (%),Past Simple (%),Present Perfect Progressive (%),Future Progressive (%),Past Perfect Progressive (%),Past Progressive (%),Future Simple (%),Future Perfect (%),Present Simple (%),Past Perfect (%),Present Progressive (%),Present Perfect (%),Level
"Annette Keen - Carnival! (Penguin Readers, EasyStarts)-Pearson ESL (2003)",406,1581,347,389.4088669950739,7065,446.8690702087287,117.0028818443804,2415,152.75142314990512,993,62.80834914611005,25.55344718532575,184,11.6382036685642,7,0.4427577482605946,434,27.450980392156865,15.749525616698296,61.330049261083744,0.0,22.660098522167488,38.669950738916256,0.0,0.4926108374384237,32.57432005060089,126.84729064039408,5.911330049261084,6.578115117014548,25.61576354679803,1.477832512315271,5.911330049261084,54.18719211822661,5,0.31625553447185323,11.648636994107989,73.6547960151803,64.96105028462998,6.212916935405978,6.340283708933566,10.578747628083493,1.5645775418064891,2.8746363061353533,15.532292338514939,15.532292338514939,10.050249851842851,7.079204336907178,8.08349146110057,0.0,1.2315270935960592,0.24630541871921185,0.0,0.0,0.0,5.911330049261084,0.0,85.96059113300494,1.2315270935960592,5.41871921182266,0.0,0
Cat and Mouse in Partnership,115,449,78,390.4347826086957,2039,454.1202672605792,147.43589743589746,630,140.31180400890872,319,71.04677060133629,19.153674832962142,44,9.79955456570156,15,3.3407572383073503,250,55.67928730512249,28.730512249443212,112.17391304347824,0.0,37.39130434782609,74.78260869565217,0.8695652173913043,0.0,35.189309576837424,137.3913043478261,0.0,9.35412026726058,36.52173913043478,0.8695652173913043,15.65217391304348,14.782608695652176,0,0.0,7.191896186695073,84.16830076498498,78.12387314805852,5.481560956715406,5.947196773138691,9.342984409799554,1.9112385010167507,3.3209799554565684,13.703902391788516,13.703902391788516,9.48504534327491,4.765724527936476,1.7229398663697106,0.0,14.782608695652176,0.0,0.0,1.7391304347826086,0.0,7.82608695652174,0.8695652173913043,53.04347826086957,20.869565217391305,0.8695652173913043,0.0,0
Escott John. - San Francisco Story,170,643,147,378.2352941176471,2522,392.22395023328147,115.64625850340136,860,133.7480559875583,459,71.3841368584759,23.950233281493002,30,4.665629860031103,0,0.0,157,24.416796267496114,21.61741835147745,81.76470588235293,0.0,24.70588235294117,57.058823529411754,0.0,0.0,17.729393468118197,67.05882352941175,0.0,5.4432348367029535,20.588235294117645,1.1764705882352942,19.411764705882355,91.76470588235294,0,0.0,12.12219257524472,89.84505639923155,78.78714660140886,3.37919312048303,5.929975928648089,9.292379471228617,-1.0650754734242085,-0.5630482115085549,8.447982801207575,8.447982801207575,9.176903606257431,7.314487411947672,3.081399688958009,0.0,0.0,0.0,0.0,0.0,0.0,4.117647058823529,0.0,88.23529411764706,0.0,7.647058823529411,0.0,0
"John Escott, Adam Willis - Newspaper Chase (Penguin Readers, Easystarts)-Pearson ESL (2003)",234,847,181,361.965811965812,4116,485.9504132231405,129.28176795580112,1370,161.74734356552537,497,58.67768595041323,25.14757969303424,137,16.174734356552538,3,0.3541912632821724,231,27.27272727272727,16.174734356552538,58.547008547008545,0.0,20.94017094017094,37.60683760683761,0.0,0.0,30.460448642266822,110.25641025641028,0.4273504273504274,5.430932703659977,19.65811965811966,0.0,5.982905982905983,68.80341880341881,0,0.0,11.66317140637141,66.32279435211257,58.63466684325776,7.917756990484262,6.520893951097651,11.198347107438016,3.268093522638978,4.5963164108618635,19.794392476210657,19.794392476210657,10.438213533940806,7.060614996114997,4.2648524203069655,0.0,0.8547008547008548,0.0,0.0,0.0,0.0,0.8547008547008548,0.4273504273504274,88.88888888888891,1.282051282051282,7.6923076923076925,0.0,0
Lindop Christine. - Red Roses,435,1216,321,279.54022988505744,4645,381.9901315789474,135.5140186915888,1585,130.3453947368421,926,76.15131578947368,17.927631578947363,72,5.921052631578947,7,0.575657894736842,338,27.796052631578952,24.753289473684212,69.19540229885058,0.0,18.160919540229887,51.03448275862069,0.2298850574712644,0.2298850574712644,21.6282894736842,60.45977011494252,0.0,5.75657894736842,16.091954022988507,1.6091954022988506,9.42528735632184,36.7816091954023,8,0.6578947368421052,11.539655243496671,93.72546271929824,87.41162061403509,3.4865819721718085,5.674809388191595,8.57730263157895,-2.0405636532062914,-3.9277960526315803,8.716454930429519,8.716454930429519,8.94529775937689,6.9179673623714475,4.361776315789474,0.2298850574712644,0.9195402298850576,0.0,0.6896551724137931,0.0,0.0,8.505747126436782,0.2298850574712644,84.59770114942529,0.0,4.827586206896552,0.0,0
S0 John Escott - Girl with Green Eyes,299,952,235,318.39464882943145,3828,402.10084033613447,127.23404255319149,1220,128.1512605042017,759,79.72689075630252,13.445378151260504,65,6.827731092436974,3,0.3151260504201681,293,30.77731092436975,24.264705882352942,77.25752508361205,0.0,20.401337792642146,56.856187290969885,0.0,0.0,24.579831932773107,78.26086956521739,0.0,3.1512605042016806,10.033444816053512,1.6722408026755853,9.698996655518394,49.83277591973243,0,0.0,11.088186350861417,95.18732792782669,92.73459263370898,4.004671032292516,5.466157491546158,8.04096638655462,-0.89907717602091,-1.4531092436974813,10.01167758073129,10.01167758073129,8.875693389730476,6.7205180292852935,2.5620483193277312,0.0,0.33444816053511706,0.0,0.33444816053511706,0.0,0.0,7.023411371237457,0.0,86.62207357859532,0.33444816053511706,5.351170568561873,0.0,0
Stephen_Rabley_-_Marcel_and_the_White_Star_Penguin,218,856,189,392.6605504587156,3665,428.1542056074766,115.34391534391534,1208,141.12149532710282,563,65.77102803738319,28.154205607476634,52,6.074766355140188,11,1.2850467289719625,303,35.39719626168225,22.19626168224299,87.1559633027523,0.0,27.981651376146782,59.17431192660551,0.0,0.0,30.607476635514026,120.18348623853208,0.0,6.775700934579438,26.605504587155966,0.9174311926605504,7.339449541284404,55.5045871559633,0,0.0,10.395542343307898,83.4607103661151,69.66536924461975,4.0005487438909375,6.204479924852871,10.134345794392523,0.6993658364057289,1.8371495327102745,10.001371859727342,10.001371859727342,9.523617945640057,6.431549172597103,4.8218224299065415,0.0,0.0,0.0,0.0,0.0,0.0,7.339449541284404,0.0,86.23853211009174,1.376146788990826,5.045871559633029,0.0,0
Tony on the Moon - More Sayings of Barnaby Frog,55,283,54,514.5454545454545,1439,508.4805653710247,101.85185185185186,453,160.07067137809187,161,56.8904593639576,30.3886925795053,36,12.720848056537099,4,1.4134275618374559,104,36.74911660777385,16.607773851590107,85.45454545454545,0.0,21.818181818181817,63.63636363636363,0.0,0.0,36.74911660777385,189.0909090909091,1.8181818181818181,13.074204946996467,67.27272727272727,3.6363636363636362,25.45454545454545,34.54545454545455,0,0.0,10.242529033087058,66.19257565049796,54.22820815933186,7.1465210407966575,6.596228884653022,11.466431095406358,5.092161901702539,8.346007067137808,17.866302601991645,17.866302601991645,10.480631911339543,6.4681724381625445,1.7238162544169613,1.8181818181818181,1.8181818181818181,0.0,0.0,0.0,0.0,18.181818181818183,0.0,58.18181818181818,10.909090909090908,9.090909090909092,0.0,0
"Goodbye, Mr Hollywood [2]",1083,4313,1183,398.24561403508767,17038,395.0382564340366,91.54691462383772,5856,135.77556225365174,3128,72.5249246464178,20.70484581497797,292,6.77022953860422,26,0.602828657546951,1639,38.00139114305588,20.102017157431025,80.05540166204986,0.0,28.71652816251154,51.24653739612188,0.0,0.18467220683287164,24.669603524229075,98.24561403508771,0.9233610341643584,6.306515186645028,25.11542012927055,1.4773776546629733,10.156971375807943,56.04801477377654,8,0.18548574078367724,9.987110163072881,87.92668135095451,80.40816152716592,4.301074271582039,5.87097938099086,9.121261303037329,-0.832470051781435,-0.004349640621381211,10.752685678955094,10.752685678955094,9.284723170260452,6.2247631192518735,17.862031068861576,0.0,32.409972299168984,0.0,0.0,0.18467220683287164,0.18467220683287164,4.43213296398892,0.0,45.98337950138504,14.404432132963992,2.400738688827332,0.0,1
John Escott - London-Oxford university Press,309,2036,392,658.8996763754045,9694,476.1296660117878,78.8265306122449,3066,150.5893909626719,1221,59.970530451866395,30.5992141453831,192,9.430255402750491,3,0.14734774066797646,616,30.25540275049116,10.805500982318273,71.19741100323624,0.0,26.537216828478964,44.66019417475729,0.0,0.0,26.473477406679763,174.4336569579288,0.9708737864077668,7.367387033398821,48.54368932038835,2.5889967637540456,6.472491909385113,194.1747572815534,0,0.0,11.339486145179649,72.74854353036922,57.688046477324036,6.407700866601815,6.46537744905805,11.004420432220039,4.290205651032231,7.7040864440078565,16.019252166504536,16.019252166504536,10.161541237021638,7.175325582873964,12.462829076620825,0.0,11.326860841423947,0.3236245954692557,0.0,0.0,0.6472491909385114,14.239482200647249,0.3236245954692557,64.72491909385114,6.7961165048543695,1.6181229773462782,0.0,1
