,text,verb1,verb2,verb3,verb4,verb5,verb6,time_exp1,time_exp2,time_exp3,time_exp4,time_exp5,tense
0,I drive home every day.,"verb, non-3rd person singular present",,,,,,every,day,,,,present simple
1,I drove home yesterday.,"verb, past tense",,,,,,yesterday,,,,,past simple
2,I will drive home later.,"verb, modal auxiliary","verb, base form",,,,,,,,,,future simple
3,I was driving when you called.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
4,I am driving now.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,now,,,,,present progressive
5,I will be driving when you call.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, non-3rd person singular present",,,when,,,,,future progressive
6,I have driven that road.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
7,I had already driven that road in the past.,"verb, past tense","verb, past participle",,,,,already,past,,,,past perfect
8,I will have driven 200 miles by tomorrow.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,tomorrow,,,,future perfect
9,I have been driving since this morning.,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,since,this,,,,present perfect progressive
10,I had been driving for three hours before I stopped to get gas.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense","verb, base form",,for,before,,,,past perfect progressive
11,I will have been driving for five hours by the time I arrive.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,for,by,time,,,future perfect progressive
12,Did you get enough sleep last night?,"verb, past tense","verb, base form",,,,,last,,,,,past simple
13,Do you shower every day?,"verb, non-3rd person singular present","verb, base form",,,,,every,day,,,,present simple
14,Are you going to study tonight?,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,,,,,,future simple
15,What were you doing when I called you last night?,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,last,,,,past progressive
16,What are you doing right now?,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,right,now,,,,present progressive
17,What will you be doing at midnight on New Year’s Eve?,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
18,Had you ever tried skiing before today?,"verb, past tense","verb, past participle",,,,,ever,before,today,,,past perfect
19,Have you ever broken the law?,"verb, non-3rd person singular present","verb, past participle",,,,,ever,,,,,present perfect
20,Will you have gotten married by the time you turn 30?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, past participle","verb, non-3rd person singular present",,by,time,,,,future perfect
21,How long had you been smoking before you quit?,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,,before,,,,,past perfect progressive
22,How long have you been waiting for the bus?,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,,,,,present perfect progressive
23,How long will you have been working before you retire?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,before,,,,,future perfect progressive
24,It snowed yesterday.,"verb, past tense",,,,,,yesterday,,,,,past simple
25,It snows every winter.,"verb, 3rd person singular present",,,,,,every,,,,,present simple
26,It is going to snow tonight.,"verb, 3rd person singular present","verb, gerund or present participle","verb, base form",,,,,,,,,future simple
27,It will snow this winter.,"verb, modal auxiliary","verb, base form",,,,,this,,,,,future simple
28,It was snowing when I drove to work.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,present progressive
29,It is snowing.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
30,It will be snowing by the time I get home.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, non-3rd person singular present",,,by,time,,,,future progressive
31,It had already snowed before I left.,"verb, past tense","verb, past participle","verb, past tense",,,,already,before,,,,past perfect
