word,tag
abroad,TOEFL
abrupt,TOEFL
acceptable,TOEFL
acclaim,TOEFL
adverse,TOEFL
aspect,TOEFL
autonomous,TOEFL
chronic,TOEFL
disapproval,TOEFL
disruptive,TOEFL
intervention,TOEFL
persistent,TOEFL
postpone,TOEFL
withdraw,TOEFL
valid,TOEFL
haphazardly,TOEFL
advantage,TOEFL
advent,TOEFL
agile,TOEFL
albeit,TOEFL
appealing,TOEFL
celebrated,TOEFL
circumvent,TOEFL
collide,TOEFL
contemporary,TOEFL
distribute,TOEFL
encourage,TOEFL
energetic,TOEFL
frail,TOEFL
heyday,TOEFL
myth,TOEFL
refine,TOEFL
worthwhile,TOEFL
alter,TOEFL
analyze,TOEFL
ancient,TOEFL
annoying,TOEFL
anticipate,TOEFL
ascertain,TOEFL
conform,TOEFL
enrich,TOEFL
intensify,TOEFL
intolerable,TOEFL
ongoing,TOEFL
potential,TOEFL
propose,TOEFL
restore,TOEFL
staple,TOEFL
turbulent,TOEFL
vital,TOEFL
ambiguous,TOEFL
arbitrary,TOEFL
assert,TOEFL
astounding,TOEFL
astute,TOEFL
concur,TOEFL
deceptively,TOEFL
designate,TOEFL
determined,TOEFL
elicit,TOEFL
embody,TOEFL
instigate,TOEFL
mundane,TOEFL
petition,TOEFL
relinquish,TOEFL
resilient,TOEFL
tempt,TOEFL
baffle,TOEFL
bear,TOEFL
blur,TOEFL
brilliant,TOEFL
caution,TOEFL
delicate,TOEFL
enhance,TOEFL
facilitate,TOEFL
incessant,TOEFL
inconjunctionwith,TOEFL
intrigue,TOEFL
obstruct,TOEFL
persuade,TOEFL
recompense,TOEFL
shed,TOEFL
unique,TOEFL
well-suited,TOEFL
chiefly,TOEFL
coarse,TOEFL
commonplace,TOEFL
comparatively,TOEFL
complex,TOEFL
conventional,TOEFL
curious,TOEFL
emit,TOEFL
exceedingly,TOEFL
exclusively,TOEFL
extinguish,TOEFL
immense,TOEFL
rigid,TOEFL
routinely,TOEFL
stamina,TOEFL
sufficiently,TOEFL
visibly,TOEFL
attribute,TOEFL
brash,TOEFL
clarify,TOEFL
conceal,TOEFL
confirm,TOEFL
convenient,TOEFL
core,TOEFL
critical,TOEFL
discrepancy,TOEFL
distort,TOEFL
diverse,TOEFL
eventually,TOEFL
prosperous,TOEFL
purposefully,TOEFL
reveal,TOEFL
scarcely,TOEFL
theoretically,TOEFL
accelerate,TOEFL
creep,TOEFL
crush,TOEFL
cultivate,TOEFL
dictate,TOEFL
distinguish,TOEFL
docile,TOEFL
engender,TOEFL
engross,TOEFL
flaw,TOEFL
harvest,TOEFL
mammoth,TOEFL
mirror,TOEFL
obtain,TOEFL
particle,TOEFL
settle,TOEFL
transport,TOEFL
accurate,TOEFL
acute,TOEFL
classify,TOEFL
currency,TOEFL
deep,TOEFL
dense,TOEFL
dim,TOEFL
display,TOEFL
exports,TOEFL
gigantic,TOEFL
impressive,TOEFL
install,TOEFL
jargon,TOEFL
lasting,TOEFL
straightforward,TOEFL
uniform,TOEFL
vibrant,TOEFL
distinct,TOEFL
dominant,TOEFL
dormant,TOEFL
drab,TOEFL
dramatic,TOEFL
eclectic,TOEFL
elaborate,TOEFL
exceptional,TOEFL
genuine,TOEFL
hazardous,TOEFL
minuscule,TOEFL
prime,TOEFL
rudimentary,TOEFL
skeptical,TOEFL
stoic,TOEFL
superficial,TOEFL
vigorous,TOEFL
amenity,TOEFL
disperse,TOEFL
dwelling,TOEFL
element,TOEFL
elementary,TOEFL
eliminate,TOEFL
emerge,TOEFL
emphasize,TOEFL
encircle,TOEFL
erratic,TOEFL
exaggerate,TOEFL
integral,TOEFL
justify,TOEFL
mention,TOEFL
mortify,TOEFL
prevalent,TOEFL
release,TOEFL
benefit,TOEFL
blind,TOEFL
broaden,TOEFL
burgeon,TOEFL
conspicuously,TOEFL
deficient,TOEFL
eloquent,TOEFL
endorse,TOEFL
enormous,TOEFL
entirely,TOEFL
erode,TOEFL
evaporate,TOEFL
noteworthy,TOEFL
recover,TOEFL
reportedly,TOEFL
shift,TOEFL
susceptible,TOEFL
crucial,TOEFL
dignitary,TOEFL
elude,TOEFL
evident,TOEFL
exhaust,TOEFL
extensive,TOEFL
face,TOEFL
facet,TOEFL
idol,TOEFL
inaccessible,TOEFL
oblivious,TOEFL
obviously,TOEFL
offensive,TOEFL
predictably,TOEFL
suitable,TOEFL
surpass,TOEFL
uphold,TOEFL
ample,TOEFL
arduous,TOEFL
arid,TOEFL
avert,TOEFL
defy,TOEFL
diligent,TOEFL
enact,TOEFL
feign,TOEFL
fertile,TOEFL
freshly,TOEFL
function,TOEFL
fundamental,TOEFL
indiscriminate,TOEFL
pinpoint,TOEFL
selective,TOEFL
spacious,TOEFL
withstand,TOEFL
adhere,TOEFL
durable,TOEFL
foster,TOEFL
gain,TOEFL
halt,TOEFL
handle,TOEFL
harbor,TOEFL
harmful,TOEFL
insignificant,TOEFL
mysterious,TOEFL
perilous,TOEFL
promote,TOEFL
redundant,TOEFL
reject,TOEFL
substantial,TOEFL
